homesalecount,avgsaleprice,medsaleprice,GeoID
1128,157649.0,145950.0,ZI63123
696,294492.0,280000.0,ZI63011
1025,251951.0,227500.0,ZI63021
356,67045.0,41725.0,ZI63137
605,146375.0,114000.0,ZI63118
177,58138.0,50000.0,ZI63134
319,238304.0,185000.0,ZI63144
174,163868.0,165000.0,ZI63044
342,614509.0,566750.0,ZI63005
791,370493.0,349750.0,ZI63017
320,703499.0,571500.0,ZI63105
521,257825.0,234500.0,ZI63128
333,221183.0,196000.0,ZI63126
364,458782.0,371000.0,ZI63141
335,662447.0,540000.0,ZI63131
255,308322.0,285000.0,ZI63025
567,247138.0,220000.0,ZI63026
397,68868.0,51000.0,ZI63135
1289,103983.0,92000.0,ZI63031
937,100319.0,96658.0,ZI63033
396,94116.0,94875.0,ZI63042
474,62658.0,42000.0,ZI63136
964,347840.0,289975.0,ZI63122
184,945577.0,799950.0,ZI63124
695,122181.0,119500.0,ZI63125
217,157550.0,153000.0,ZI63143
482,163322.0,162000.0,ZI63043
279,77134.0,50000.0,ZI63121
901,209740.0,200000.0,ZI63129
380,171220.0,160000.0,ZI63034
242,290166.0,223125.0,ZI63132
740,79978.0,70490.0,ZI63114
63,44858.0,36660.0,ZI63133
81,64380.0,43525.0,ZI63115
225,333913.0,255900.0,ZI63117
40,219126.0,191500.0,ZI63101
21,165533.0,144000.0,ZI63102
78,277689.0,142000.0,ZI63103
425,234549.0,197000.0,ZI63104
12,105048.0,107000.0,ZI63106
16,57415.0,40047.0,ZI63107
301,377079.0,277000.0,ZI63108
768,212397.0,181700.0,ZI63109
343,230399.0,189900.0,ZI63110
382,87023.0,66063.0,ZI63111
167,268538.0,167500.0,ZI63112
61,94483.0,52000.0,ZI63113
1078,142531.0,115000.0,ZI63116
632,158758.0,150500.0,ZI63139
566,217546.0,199950.0,ZI63146
65,49190.0,38300.0,ZI63147
413,77086.0,63960.0,ZI63138
301,89513.0,77500.0,ZI63074
79,384737.0,349900.0,ZI63127
611,257045.0,208000.0,ZI63130
146,177466.0,166500.0,ZI63088
17,77772.0,31500.0,ZI63120
768,272685.0,229000.0,ZI63119
132,484018.0,423500.0,ZI63038
204,305415.0,310000.0,ZI63040
