homesalecount,avgsaleprice,medsaleprice,GeoID
1128,157649,145950,ZI63123
696,294492,280000,ZI63011
1025,251951,227500,ZI63021
356,67045,41725,ZI63137
605,146375,114000,ZI63118
177,58138,50000,ZI63134
319,238304,185000,ZI63144
174,163868,165000,ZI63044
791,370493,349750,ZI63017
320,703499,571500,ZI63105
521,257825,234500,ZI63128
364,458782,371000,ZI63141
335,662447,540000,ZI63131
255,308322,285000,ZI63025
567,247138,220000,ZI63026
397,68868,51000,ZI63135
937,100319,96658,ZI63033
396,94116,94875,ZI63042
474,62658,42000,ZI63136
964,347840,289975,ZI63122
695,122181,119500,ZI63125
217,157550,153000,ZI63143
482,163322,162000,ZI63043
279,77134,50000,ZI63121
901,209740,200000,ZI63129
380,171220,160000,ZI63034
740,79978,70490,ZI63114
63,44858,36660,ZI63133
81,64380,43525,ZI63115
225,333913,255900,ZI63117
425,234549,197000,ZI63104
16,57415,40047,ZI63107
301,377079,277000,ZI63108
343,230399,189900,ZI63110
382,87023,66063,ZI63111
167,268538,167500,ZI63112
61,94483,52000,ZI63113
632,158758,150500,ZI63139
566,217546,199950,ZI63146
65,49190,38300,ZI63147
301,89513,77500,ZI63074
79,384737,349900,ZI63127
611,257045,208000,ZI63130
146,177466,166500,ZI63088
17,77772,31500,ZI63120
768,272685,229000,ZI63119
204,305415,310000,ZI63040
