homesalecount,avgsaleprice,medsaleprice,GeoID
1128,157649.0,145950.0,ZI63123
1025,251951.0,227500.0,ZI63021
356,67045.0,41725.0,ZI63137
177,58138.0,50000.0,ZI63134
768,272685.0,229000.0,ZI63119
174,163868.0,165000.0,ZI63044
791,370493.0,349750.0,ZI63017
342,614509.0,566750.0,ZI63005
320,703499.0,571500.0,ZI63105
768,272685.0,229000.0,ZI63119
333,221183.0,196000.0,ZI63126
364,458782.0,371000.0,ZI63141
611,257045.0,208000.0,ZI63130
255,308322.0,285000.0,ZI63025
567,247138.0,220000.0,ZI63026
397,68868.0,51000.0,ZI63135
1289,103983.0,92000.0,ZI63031
937,100319.0,96658.0,ZI63033
174,163868.0,165000.0,ZI63044
474,62658.0,42000.0,ZI63136
177,58138.0,50000.0,ZI63134
964,347840.0,289975.0,ZI63122
184,945577.0,799950.0,ZI63124
695,122181.0,119500.0,ZI63125
217,157550.0,153000.0,ZI63143
482,163322.0,162000.0,ZI63043
279,77134.0,50000.0,ZI63121
132,484018.0,423500.0,ZI63038
611,257045.0,208000.0,ZI63130
