educationClimateIndex,advancedPlacement,beforeandafterschoolprgms,blueribbonschool,charterschools,giftedandtalented,internationbaccalaureate,magnetschool,sitebased,collegebound,voctech,adulteducationclasses,adultother,specialeducation,alterantiveprogram,yearroundclasses,ESL,Povertylevel,Instructionalexpensepupil,AYPschool,OBInstID,Zip_Codes
BELOW AVERAGE,Y,N,N,N,N,N,N,N,91,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5669,N,577405,63123
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,N,98,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6840,N,579439,63011
ABOVE AVERAGE,Y,N,N,N,Y,N,N,Y,95,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,6840,Y,1524889,63021
BELOW AVERAGE,N,N,N,N,N,N,N,N,77,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,4795,N,579881,63137
LOW,Y,N,N,N,N,N,N,N,52,Y,N,,Y,N,N,Y,30 PERCENT OR MORE,7305,N,582008,63118
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,85,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,5227,N,579738,63134
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,9590,Y,577625,63144
AVERAGE,N,Y,N,N,N,N,N,N,87,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7736,N,579544,63044
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4032500,63017
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,99,Y,Y,Y,Y,N,Y,Y,6 - 15.9 PERCENT,9624,N,577675,63105
AVERAGE,Y,N,N,N,Y,Y,N,N,95,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,16586,Y,578722,63128
ABOVE AVERAGE,Y,N,N,N,Y,N,N,Y,97,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,6840,N,579207,63141
ABOVE AVERAGE,N,N,N,N,N,N,N,N,87,N,N,,Y,N,N,N,6 - 15.9 PERCENT,6511,N,5700085667,63131
AVERAGE,N,N,N,N,Y,N,N,N,95,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,579996,63025
AVERAGE,Y,N,N,N,Y,N,N,N,98,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4032512,63026
BELOW AVERAGE,Y,Y,N,N,Y,N,N,N,84,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577546,63135
BELOW AVERAGE,Y,N,N,N,N,N,N,N,89,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577900,63033
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,86,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,5897,N,578148,63042
LOW,N,Y,N,N,Y,N,N,N,85,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,4425,N,578291,63136
ABOVE AVERAGE,Y,N,N,N,N,N,N,N,97,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,7200,N,578447,63122
BELOW AVERAGE,Y,Y,N,N,N,N,N,N,91,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5904,N,577986,63125
AVERAGE,N,Y,N,N,N,N,N,N,91,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,5236,Y,578825,63143
AVERAGE,N,Y,N,N,N,N,N,N,87,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7736,N,579544,63043
BELOW AVERAGE,Y,Y,N,N,Y,N,N,N,84,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577546,63121
AVERAGE,Y,N,N,N,Y,N,N,N,97,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,5404,N,578966,63129
BELOW AVERAGE,Y,N,N,N,N,N,N,N,92,N,Y,Y,Y,N,N,N,6 - 15.9 PERCENT,5897,N,578124,63034
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,85,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,5227,N,579738,63114
LOW,N,Y,N,N,N,N,N,N,73,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,4897,N,579128,63133
LOW,N,N,N,N,N,N,Y,N,55,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,581406,63115
AVERAGE,N,Y,N,N,N,N,N,N,91,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,5236,Y,578825,63117
AVERAGE,Y,Y,N,N,Y,N,N,Y,92,Y,N,,Y,N,N,N,30 PERCENT OR MORE,7305,Y,582204,63104
LOW,N,N,N,N,N,N,N,N,41,Y,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,581212,63107
AVERAGE,Y,N,N,N,N,Y,Y,Y,100,N,N,,N,N,Y,Y,30 PERCENT OR MORE,7305,Y,580830,63108
AVERAGE,Y,N,N,N,Y,N,Y,N,84,Y,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,4018669,63110
LOW,Y,Y,N,N,N,N,N,N,96,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,Y,5280279,63111
AVERAGE,Y,N,N,N,N,N,Y,N,93,Y,Y,Y,Y,N,N,Y,30 PERCENT OR MORE,7305,Y,1759436,63112
LOW,N,N,N,N,N,N,Y,N,55,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,581406,63113
AVERAGE,Y,N,N,N,Y,N,Y,N,84,Y,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,4018669,63139
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,6840,N,579348,63146
LOW,Y,N,N,N,N,N,N,N,84,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,5700081307,63147
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,85,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,5227,N,579738,63074
AVERAGE,Y,N,N,N,Y,Y,N,N,95,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,16586,Y,578722,63127
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,81,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,6945,N,580311,63130
AVERAGE,Y,Y,N,N,Y,N,N,N,94,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7839,Y,580359,63088
LOW,Y,N,N,N,N,N,N,N,84,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,5700081307,63120
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,96,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7081,N,580517,63119
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,580036,63040
