Zip Codes,Areas,Add/Change,Latitude,Longitude,School District,OBInstlD,GeoID
63123,Affton,,38.5580845,-90.3277829,AFFTON HIGH SCHOOL,577405,ZI63123
63011,Ballwin,n,38.6044507,-90.5588787,WEST HIGH SCHOOL,579439,ZI63011
63021,Ballwin,,38.557323,-90.5352356,PARKWAY SOUTH HIGH SCHOOL,1524889,ZI63021
63137,Bellefontaine Neighbors,,38.7479435,-90.2113571,RIVERVIEW GARDENS SR. HIGH SCHOOL,579881,ZI63137
63118,Benton Park,n,38.5950619,-90.2291565,ROOSEVELT HIGH SCHOOL,582008,ZI63118
63134,Berkeley,,38.7415569,-90.3418927,RITENOUR SR. HIGH SCHOOL,579738,ZI63134
63144,Brentwood,,38.6157474,-90.3513021,BRENTWOOD HIGH SCHOOL,577625,ZI63144
63044,Bridgeton,,38.767401,-90.4408037,PATTONVILLE SR. HIGH SCHOOL,579544,ZI63044
63005,Chesterfield,c,38.6299452,-90.6962853,BABLER LODGE,5700078207,ZI63005
63017,Chesterfield,,38.6633659,-90.5771493,MARQUETTE SR. HIGH SCHOOL,4032500,ZI63017
63105,Clayton,,38.6446552,-90.3301342,CLAYTON HIGH SCHOOL,577675,ZI63105
63128,Concord,n,38.4948766,-90.3842527,LINDBERGH SR. HIGH SCHOOL,578722,ZI63128
63126,Crestwood,,38.552678,-90.3795438,SOUTHVIEW HIGH,5700103534,ZI63126
63141,Creve Coeur,,38.6624944,-90.4785495,CENTRAL HIGH SCHOOL,579207,ZI63141
63131,Des Peres,n,38.6206914,-90.4408037,HIRAM NEUWOEHNER,5700085667,ZI63131
63045,Earth City,,38.7699175,-90.4667501,ST. CHARLES HIGH SCHOOL,576803,ZI63045
63025,Eureka,,38.5043782,-90.6204165,EUREKA SR. HIGH SCHOOL,579996,ZI63025
63026,Fenton,,38.494606,-90.4596721,ROCKWOOD SUMMIT SR. HIGH SCHOOL,4032512,ZI63026
63135,Ferguson,,38.7469318,-90.2901815,MCCLUER SOUTH-BERKELEY HIGH SCHOOL,577546,ZI63135
63031,Florissant,,38.8095735,-90.3465971,NORTHWEST MIDDLE SCHOOL,578136,ZI63031
63033,Florissant,,38.7888018,-90.2901815,MCCLUER NORTH HIGH SCHOOL,577900,ZI63033
63042,Hazelwood,,38.7884682,-90.403094,HAZELWOOD WEST HIGH SCHOOL,578148,ZI63042
63136,Jennings,,38.7470186,-90.2526163,JENNINGS HIGH SCHOOL,578291,ZI63136
63140,Kinloch,,38.7389857,-90.3254317,MCCLUER SOUTH-BERKELEY HIGH SCHOOL,577546,ZI63140
63122,Kirkwood,,38.5787831,-90.4219444,KIRKWOOD SR. HIGH SCHOOL,578447,ZI63122
63124,Ladue,,38.6418687,-90.3842527,LADUE MIDDLE SCHOOL,578576,ZI63124
63125,Lemay,,38.5161654,-90.2901815,HANCOCK SR. HIGH SCHOOL,577986,ZI63125
63143,Maplewood,,38.6132118,-90.3207299,MAPLEWOOD-RICHMOND HEIGHTS HIGH SCHOOL,578825,ZI63143
63043,Maryland Heights,,38.7254453,-90.4596721,PATTONVILLE SR. HIGH SCHOOL,579544,ZI63043
63121,Northwoods,,38.7102377,-90.3042778,MCCLUER SOUTH-BERKELEY HIGH SCHOOL,577546,ZI63121
63129,Oakville,n,38.4530404,-90.3089777,OAKVILLE HIGH SCHOOL,578966,ZI63129
63034,Old Jamestown,n,38.8515561,-90.2901815,HAZELWOOD CENTRAL HIGH SCHOOL,578124,ZI63034
63132,Olivette,n,38.6785807,-90.3795438,BRITTANY WOODS MIDDLE SCHOOL,580220,ZI63132
63114,Overland,n,38.7048818,-90.3465971,RITENOUR SR. HIGH SCHOOL,579738,ZI63114
63133,Pagedale,n,38.6787998,-90.3042778,NORMANDY HIGH SCHOOL,579128,ZI63133
63115,Penrose,n,38.6789517,-90.2385387,SUMNER HIGH SCHOOL,581406,ZI63115
