,Zip Code,Latitude,Longitude,School District,OBInstlD,GeoID
0,"St. Louis, MO 63123, USA",38.5580845,-90.3277829,AFFTON HIGH SCHOOL,577405,ZI63123
1,"Manchester, MO 63021, USA",38.557323,-90.5352356,PARKWAY SOUTH HIGH SCHOOL,1524889,ZI63021
2,"North County, MO 63137, USA",38.7479435,-90.2113571,RIVERVIEW GARDENS SR. HIGH SCHOOL,579881,ZI63137
3,"St. Louis, MO 63134, USA",38.7415569,-90.3418927,RITENOUR SR. HIGH SCHOOL,579738,ZI63134
4,"St. Louis, MO 63144, USA",38.6157474,-90.3513021,BRENTWOOD HIGH SCHOOL,577625,ZI63119
5,"Hazelwood, MO 63044, USA",38.767401,-90.4408037,PATTONVILLE SR. HIGH SCHOOL,579544,ZI63044
6,"Town and Country, MO 63017, USA",38.6633659,-90.5771493,MARQUETTE SR. HIGH SCHOOL,4032500,ZI63017
7,"Wildwood, MO 63005, USA",38.6299452,-90.6962853,ROCKWOOD VALLEY MIDDLE SCHOOL,4016245,ZI63005
8,"St. Louis, MO 63105, USA",38.6446552,-90.3301342,CLAYTON HIGH SCHOOL,577675,ZI63105
9,"St. Louis, MO 63119, USA",38.5842641,-90.3513021,WEBSTER GROVES HIGH SCHOOL,580517,ZI63119
10,"St. Louis, MO 63126, USA",38.552678,-90.3795438,SOUTHVIEW HIGH,5700103534,ZI63126
11,"St. Louis, MO 63141, USA",38.6624944,-90.4785495,CENTRAL HIGH SCHOOL,579207,ZI63141
12,"St. Louis, MO 63130, USA",38.6682669,-90.3230807,UNIVERSITY CITY SR. HIGH SCHOOL,580311,ZI63130
13,"Earth City, MO 63045, USA",38.7699175,-90.4667501,ST. CHARLES HIGH SCHOOL,576803,ZI63045
14,"Byrnes Mill, MO 63025, USA",38.5043782,-90.6204165,EUREKA SR. HIGH SCHOOL,579996,ZI63025
15,"Fenton, MO 63026, USA",38.494606,-90.4596721,ROCKWOOD SUMMIT SR. HIGH SCHOOL,4032512,ZI63026
16,"St. Louis, MO 63135, USA",38.7469318,-90.2901815,MCCLUER SOUTH-BERKELEY HIGH SCHOOL,577546,ZI63135
17,"Florissant, MO 63031, USA",38.8095735,-90.3465971,NORTHWEST MIDDLE SCHOOL,578136,ZI63031
18,"Florissant, MO 63033, USA",38.7888018,-90.2901815,MCCLUER NORTH HIGH SCHOOL,577900,ZI63033
19,"Hazelwood, MO 63042, USA",38.7884682,-90.403094,HAZELWOOD WEST HIGH SCHOOL,578148,ZI63044
20,"St. Louis, MO 63136, USA",38.7470186,-90.2526163,JENNINGS HIGH SCHOOL,578291,ZI63136
21,"St. Louis, MO 63140, USA",38.7389857,-90.3254317,MCCLUER SOUTH-BERKELEY HIGH SCHOOL,577546,ZI63134
22,"St. Louis, MO 63122, USA",38.5787831,-90.4219444,KIRKWOOD SR. HIGH SCHOOL,578447,ZI63122
23,"St. Louis, MO 63124, USA",38.6418687,-90.3842527,LADUE MIDDLE SCHOOL,578576,ZI63124
24,"St. Louis, MO 63125, USA",38.5161654,-90.2901815,HANCOCK SR. HIGH SCHOOL,577986,ZI63125
25,"St. Louis, MO 63143, USA",38.6132118,-90.3207299,MAPLEWOOD-RICHMOND HEIGHTS HIGH SCHOOL,578825,ZI63143
26,"Maryland Heights, MO 63043, USA",38.7254453,-90.4596721,PATTONVILLE SR. HIGH SCHOOL,579544,ZI63043
27,"St. Louis, MO 63121, USA",38.7102377,-90.3042778,MCCLUER SOUTH-BERKELEY HIGH SCHOOL,577546,ZI63121
28,"Ellisville, MO 63038, USA",38.5775338,-90.6867939,WILDWOOD MIDDLE SCHOOL,4945866,ZI63038
29,"St. Louis, MO 63130, USA",38.6682669,-90.3230807,UNIVERSITY CITY SR. HIGH SCHOOL,580311,ZI63130
