Zip Codes,Areas,Add/Change
63123,Affton,
63011,Ballwin,n
63021,Ballwin,
63137,Bellefontaine Neighbors,
63118,Benton Park,n
63134,Berkeley,
63144,Brentwood,
63044,Bridgeton,
63005,Chesterfield,
63017,Chesterfield,
63105,Clayton,
63128,Concord,n
63126,Crestwood,
63141,Creve Coeur,
63131,Des Peres,n
63045,Earth City,
63025,Eureka,
63026,Fenton,
63135,Ferguson,
63031,Florissant,
63033,Florissant,
63042,Hazelwood,
63136,Jennings,
63140,Kinloch,
63122,Kirkwood,
63124,Ladue,
63125,Lemay,
63143,Maplewood,
63043,Maryland Heights,
63121,Northwoods,
63129,Oakville,n
63034,Old Jamestown,n
63132,Olivette,n
63114,Overland,n
63133,Pagedale,n
63115,Penrose,n
63117,Richmond Heights,n
63101,Saint Louis,n
63102,Saint Louis,n
63103,Saint Louis,n
63104,Saint Louis,n
63106,Saint Louis,n
63107,Saint Louis,n
63108,Saint Louis,n
63109,Saint Louis,n
63110,Saint Louis,n
63111,Saint Louis,n
63112,Saint Louis,n
63113,Saint Louis,n
63116,Saint Louis,n
63139,Saint Louis,n
63146,Saint Louis,n
63147,Saint Louis,n
63155,Saint Louis,n
63138,Spanish Lake,n
63074,St Ann,n
63127,Sunset Hills,n
63130,University City,
63088,Valley Park,n
63120,Walnut Park,n
63119,Webster Groves,
63038,Wildwood,n
63040,Wildwood,n
