Zip Codes,Target City
63123,Affton
63021,Ballwin
63137,Bellefontaine Neighbors
63134,Berkeley
63144,Brentwood
63044,Bridgeton
63017,Chesterfield
63005,Chesterfield
63105,Clayton
63119,Webster Groves
63126,Crestwood
63141,Creve Coeur
63130,University City
63045,Earth City
63025,Eureka
63026,Fenton
63135,Ferguson
63031,Florissant
63033,Florissant
63042,Hazelwood
63136,Jennings
63140,Kinloch
63122,Kirkwood
63124,Ladue
63125,Lemay
63143,Maplewood
63043,Maryland Heights
63121,Northwoods
63038,Oakville
63130,Wildwood
